Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Number of doctoral degrees awarded in academic year 2013,Number of doctoral degrees awarded in academic year 2014,Number of doctoral degrees awarded in academic year 2015,Number of doctoral degrees awarded in academic year 2016,Number of doctoral degrees awarded in academic year 2017,Number of doctoral degrees awarded in academic year 2018,Number of doctoral degrees awarded in academic year 2019
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,56.57,43.49,42.84,49.76,43.01,53.32,33.3
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,5.53,1.33,6,3.66,1.83,9.33,2.53
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,4.75,8.67,7,1.67,5.58,6.5,5
10007783,University of Aberdeen,A,5,Biological Sciences,,,,13.82,17.74,13.33,12.26,14.7,9.04,17.37
10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,,41.39,37.27,33.1,34.23,41.72,47.39,43.1
10007783,University of Aberdeen,B,8,Chemistry,,,,13.03,9,5.5,8.3,5.5,11.45,16.2
10007783,University of Aberdeen,B,10,Mathematical Sciences,,,,8,5,6,5.5,6,6,4.45
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,2,10.67,7.05,3.9,2.33,6.4,6.9
10007783,University of Aberdeen,B,12,Engineering,,,,14.25,13.5,16.45,18.7,16.15,20.28,21.15
10007783,University of Aberdeen,C,15,Archaeology,,,,4.75,2.33,4.9,5,1.8,2,1.5
10007783,University of Aberdeen,C,17,Business and Management Studies,,,,7,9.5,13.48,6.53,6.3,17.34,11
10007783,University of Aberdeen,C,18,Law,,,,10,9.2,15.6,5,16.63,13.6,4
10007783,University of Aberdeen,C,19,Politics and International Studies,,,,6,1,6.5,4.75,2.46,7.1,3
10007783,University of Aberdeen,C,21,Sociology,,,,3.5,3.5,2,5,0,5.5,3
10007783,University of Aberdeen,C,22,Anthropology and Development Studies,,,,2.9,5,5.35,9.25,5.2,6.8,5.9
10007783,University of Aberdeen,C,23,Education,,,,4.5,5,2.5,7.5,2.08,8.7,11.5
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,4.8,0.7,6.75,2.5,5.58,2.5,3.6
10007783,University of Aberdeen,D,27,English Language and Literature,,,,9.7,11,4,7,8.8,10.8,6.5
10007783,University of Aberdeen,D,28,History,,,,8.5,5.5,10.1,7.5,7.83,7,3.5
