Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Number of doctoral degrees awarded in academic year 2013,Number of doctoral degrees awarded in academic year 2014,Number of doctoral degrees awarded in academic year 2015,Number of doctoral degrees awarded in academic year 2016,Number of doctoral degrees awarded in academic year 2017,Number of doctoral degrees awarded in academic year 2018,Number of doctoral degrees awarded in academic year 2019
10007783,University of Aberdeen,C,18,Law,,,,10.00,9.20,15.60,5.00,16.63,13.60,4.00
10007849,Abertay University,C,18,Law,,,,0.00,0.00,1.00,1.00,0.00,0.00,0.00
10007856,Aberystwyth University / Prifysgol Aberystwyth,C,18,Law,,,,4.00,5.00,5.00,5.00,1.00,1.00,1.00
10000291,Anglia Ruskin University Higher Education Corporation,C,18,Law,,,,2.00,2.00,2.00,4.00,3.00,2.00,6.00
10007760,Birkbeck College,C,18,Law,,,,4.00,7.00,6.00,10.00,10.00,10.00,8.00
10006840,The University of Birmingham,C,18,Law,,,,8.00,4.00,7.00,9.50,11.75,11.10,10.00
10007140,Birmingham City University,C,18,Law,,,,0.00,0.00,0.00,0.00,2.00,2.00,1.00
10000824,Bournemouth University,C,18,Law,,,,0.00,0.00,3.00,0.00,0.00,1.00,2.00
10007786,University of Bristol,C,18,Law,,,,4.00,9.50,10.90,6.83,5.60,7.50,12.00
10000961,Brunel University London,C,18,Law,,,,14.00,15.00,6.00,11.00,14.00,8.00,10.00
10007788,University of Cambridge,C,18,Law,,,,25.00,30.00,17.00,18.00,23.00,30.00,21.00
10001143,Canterbury Christ Church University,C,18,Law,,,,0.00,1.00,1.00,1.00,0.00,3.00,1.00
10007814,Cardiff University / Prifysgol Caerdydd,C,18,Law,,,,1.00,2.00,3.50,5.50,6.00,0.00,4.00
10007141,University of Central Lancashire,C,18,Law,,,,0.00,0.75,6.50,3.00,6.75,4.25,8.25
10001478,"City, University of London",C,18,Law,,,,3.50,1.50,3.00,6.00,4.50,8.00,4.00
10001883,De Montfort University,C,18,Law,,,,0.00,1.00,2.00,0.00,3.00,2.00,2.00
10007852,University of Dundee,C,18,Law,,,,10.00,7.50,7.00,8.00,6.00,16.00,9.00
10007143,University of Durham,C,18,Law,,,,9.00,7.70,11.80,19.50,12.00,4.30,13.50
10007789,The University of East Anglia,C,18,Law,,,,5.00,6.00,2.00,4.00,2.00,3.00,5.00
10007144,University of East London,C,18,Law,,,,0.50,0.00,0.00,2.00,1.50,3.00,2.00
10007823,Edge Hill University,C,18,Law,,,,1.00,0.00,1.00,1.00,1.00,2.00,2.00
10007790,University of Edinburgh,C,18,Law,,,,19.40,11.60,20.70,21.25,26.10,14.30,17.14
10007772,Edinburgh Napier University,C,18,Law,,,,0.00,0.00,0.00,1.00,1.00,2.00,1.00
10007791,The University of Essex,C,18,Law,,,,3.00,16.00,11.00,14.00,9.00,4.00,5.50
10007792,University of Exeter,C,18,Law,,,,2.90,5.60,7.60,4.20,12.50,10.80,5.75
10007794,University of Glasgow,C,18,Law,,,,5.50,19.00,11.50,10.50,15.40,11.40,6.67
10007146,University of Greenwich,C,18,Law,,,,0.00,0.00,2.00,3.00,1.00,1.00,2.00
10007148,The University of Huddersfield,C,18,Law,,,,0.00,0.00,2.00,3.00,0.00,4.00,2.00
10007767,University of Keele,C,18,Law,,,,7.00,3.00,3.00,4.00,7.00,5.00,2.00
10007150,The University of Kent,C,18,Law,,,,3.50,7.00,11.67,6.00,11.00,10.83,11.00
10003645,King's College London,C,18,Law,,,,21.00,14.00,17.75,12.75,19.50,25.25,22.25
10007768,The University of Lancaster,C,18,Law,,,,4.00,7.00,7.00,7.00,7.00,11.00,4.00
10007795,The University of Leeds,C,18,Law,,,,13.00,7.00,11.25,23.65,16.00,18.50,24.33
10003861,Leeds Beckett University,C,18,Law,,,,0.00,0.00,0.00,0.00,1.00,0.00,2.00
10007796,The University of Leicester,C,18,Law,,,,10.00,6.00,6.00,2.00,5.00,9.00,5.00
10007151,University of Lincoln,C,18,Law,,,,1.00,0.00,0.00,0.00,2.00,2.00,0.00
10006842,The University of Liverpool,C,18,Law,,,,3.40,4.00,5.10,3.00,6.75,7.90,5.00
10003957,Liverpool John Moores University,C,18,Law,,,,0.00,1.00,2.00,3.00,2.00,1.00,1.00
10004063,The London School of Economics and Political Science,C,18,Law,,,,13.00,9.00,9.50,3.00,5.00,12.50,3.00
10007798,The University of Manchester,C,18,Law,,,,21.05,24.50,18.50,17.62,15.10,19.70,11.00
10004351,Middlesex University,C,18,Law,,,,0.00,4.00,5.00,4.00,7.00,8.00,2.00
10007799,University of Newcastle upon Tyne,C,18,Law,,,,6.00,3.00,4.00,6.47,5.00,4.00,4.20
10001282,University of Northumbria at Newcastle,C,18,Law,,,,0.00,2.00,4.00,4.00,6.00,1.00,11.00
10004797,Nottingham Trent University,C,18,Law,,,,4.00,3.00,2.00,3.00,4.00,6.00,6.00
10007154,"University of Nottingham, The",C,18,Law,,,,5.50,12.75,12.00,8.00,12.90,12.17,11.20
10007773,The Open University,C,18,Law,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10007774,University of Oxford,C,18,Law,,,,36.00,28.50,45.33,40.50,31.50,30.99,39.50
10004930,Oxford Brookes University,C,18,Law,,,,1.00,2.00,0.00,2.00,1.00,5.00,1.00
10007801,University of Plymouth,C,18,Law,,,,3.00,2.00,2.00,1.00,0.00,2.00,2.00
10007155,University of Portsmouth,C,18,Law,,,,0.00,5.00,1.00,1.00,2.00,0.00,1.00
10007775,Queen Mary University of London,C,18,Law,,,,21.00,24.50,15.20,16.50,21.60,17.00,22.00
10005343,Queen's University of Belfast,C,18,Law,,,,11.00,15.00,11.00,11.00,9.00,16.00,16.00
10007802,The University of Reading,C,18,Law,,,,2.00,3.00,3.00,1.00,8.00,4.00,5.50
10007780,School of Oriental and African Studies,C,18,Law,,,,6.00,13.00,10.00,12.00,16.00,10.00,6.00
10007157,The University of Sheffield,C,18,Law,,,,5.50,5.50,6.50,10.50,4.50,3.50,9.50
10007158,University of Southampton,C,18,Law,,,,4.30,14.00,7.15,6.00,9.10,7.90,8.00
10007804,University of Stirling,C,18,Law,,,,2.00,2.00,3.00,3.00,0.00,5.00,2.00
10007805,University of Strathclyde,C,18,Law,,,,2.00,1.00,3.00,7.00,5.00,10.30,5.00
10007160,The University of Surrey,C,18,Law,,,,4.00,2.00,2.00,2.00,4.00,3.00,2.00
10007806,University of Sussex,C,18,Law,,,,3.00,4.00,4.00,8.00,9.00,12.00,7.00
10007855,Swansea University / Prifysgol Abertawe,C,18,Law,,,,1.00,2.00,6.00,6.00,3.00,3.00,5.00
10007807,University of Ulster,C,18,Law,,,,1.50,1.50,4.46,0.00,6.63,1.50,3.65
10007784,University College London,C,18,Law,,,,7.00,10.50,11.00,12.80,9.65,13.00,12.00
10007163,The University of Warwick,C,18,Law,,,,7.00,7.00,10.00,6.50,13.50,7.20,10.50
10007164,"University of the West of England, Bristol",C,18,Law,,,,0.00,3.00,1.00,0.00,3.00,1.00,3.00
10007165,The University of Westminster,C,18,Law,,,,6.00,9.00,10.00,4.00,2.00,4.00,3.00
10003614,University of Winchester,C,18,Law,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10007166,University of Wolverhampton,C,18,Law,,,,0.00,1.00,0.00,2.00,4.00,0.00,3.00
10007167,University of York,C,18,Law,,,,0.50,2.10,4.30,2.00,6.00,6.50,1.00
