Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","3,413,128","1,944,316","658,227","1,235,511","8,648,580"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),498,0,"16,614","11,938","83,569"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,UK-based charities (other),"12,268","48,957","8,504","14,821","103,747"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","6,007","11,095","82,858","61,627","431,395"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,"89,000","29,000","33,428","234,000"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","605,686","343,792","174,662","260,398","1,822,788"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,UK other sources,"9,426","3,092","1,101","2,575","18,025"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,EU government bodies,"468,650","329,390","49,895","149,645","1,047,517"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),"12,215",0,0,"1,745","12,215"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,"190,473","219,784","54,373","97,446","682,124"
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,0,0,0
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,,Total income,"4,718,351","2,989,426","1,075,236","1,869,137","13,083,960"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","180,000","230,000","156,000","170,000","1,190,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),"45,000","25,000",400,"10,285","72,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,0,0,0
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","273,000","137,000","96,400","127,428","892,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","203,000","121,000","65,600","93,142","652,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,UK other sources,0,0,0,0,0
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,EU government bodies,"284,000","274,000","388,800","357,428","2,502,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations","1,000",0,-200,0,0
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,"1,000",714,"5,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,"1,000",0,0,142,"1,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,800,571,"4,000"
10007856,Aberystwyth University,B,11,Computer Science and Informatics,,,,Total income,"987,000","787,000","708,800","759,714","5,318,000"
10007759,Aston University,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","88,701","9,292","35,100","39,071","273,497"
10007759,Aston University,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),"31,092","86,345","33,155","40,459","283,213"
10007759,Aston University,B,11,Computer Science and Informatics,,,,UK-based charities (other),"112,394","53,792","69,036","73,052","511,369"
10007759,Aston University,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","134,089","264,959","293,755","266,832","1,867,826"
10007759,Aston University,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,"68,844","8,632","16,000","112,005"
10007759,Aston University,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","120,240","70,674","100,056","98,742","691,195"
10007759,Aston University,B,11,Computer Science and Informatics,,,,UK other sources,"-391,951",0,0,"-55,993","-391,951"
10007759,Aston University,B,11,Computer Science and Informatics,,,,EU government bodies,"474,413","52,162","356,314","329,735","2,308,149"
10007759,Aston University,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007759,Aston University,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,"2,199","51,525","37,118","259,828"
10007759,Aston University,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10007759,Aston University,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),"44,779",0,0,"6,397","44,779"
10007759,Aston University,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,"6,221","10,508",0,"2,389","16,729"
10007759,Aston University,B,11,Computer Science and Informatics,,,,Non-EU other,0,"17,603","38,416","29,955","209,687"
10007759,Aston University,B,11,Computer Science and Informatics,,,,Total income,"619,978","636,378","985,994","883,760","6,186,326"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","1,204,312","1,436,852","1,194,341","1,230,410","8,612,870"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),"27,161","83,810","23,094","32,348","226,441"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","73,292","12,644","144,947","115,810","810,671"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","1,283","1,398","19,844","14,557","101,901"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,UK other sources,0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,EU government bodies,600,"151,775","291,426","229,929","1,609,509"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,"30,534","21,810","152,672"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,"1,481",0,"3,092","2,420","16,941"
10007850,University of Bath,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,0,0,0
10007850,University of Bath,B,11,Computer Science and Informatics,,,,Total income,"1,308,129","1,686,479","1,707,279","1,647,286","11,531,005"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","10,129","63,490","25,408","28,665","200,659"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),0,0,"1,606","1,147","8,033"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,0,0,0
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","34,417",0,"180,481","133,832","936,825"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","7,623","28,938","12,706","14,299","100,093"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,UK other sources,0,0,0,0,0
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,EU government bodies,"617,791","489,630","250,055","336,813","2,357,697"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,"9,339","-1,868",0,-1
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,"21,982","116,842","41,536","49,501","346,507"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,"4,800",0,0,685,"4,800"
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,0,0,0
10007152,University of Bedfordshire,B,11,Computer Science and Informatics,,,,Total income,"696,742","708,239","509,926","564,944","3,954,613"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","44,856","95,343","193,750","158,421","1,108,949"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,UK-based charities (other),"2,570",467,"5,624","4,451","31,157"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities",0,"9,542","11,991","9,928","69,500"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,"2,340","5,655","4,373","30,617"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,UK other sources,0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,EU government bodies,"138,020","167,712","8,132","49,485","346,395"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,"21,109","15,078","105,549"
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,0,0,0
10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,Total income,"185,446","275,404","246,263","241,738","1,692,167"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","1,495,212","1,489,827","1,266,734","1,331,244","9,318,713"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),"13,865","-2,407","5,689","5,700","39,904"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,"23,378","16,698","116,891"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","260,372","247,004","178,118","199,709","1,397,966"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,"249,965","34,881","60,624","424,372"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","41,703","141,589","86,877","88,240","617,681"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,UK other sources,"2,461",0,0,351,"2,461"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,EU government bodies,"1,812,585","1,556,246","877,033","1,107,713","7,753,996"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations","26,451","36,759","59,149","51,279","358,957"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,"13,437","51,238","142,531","111,047","777,330"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,Non-EU other,"77,587",0,0,"11,083","77,587"
10006840,University of Birmingham,B,11,Computer Science and Informatics,,,,Total income,"3,743,673","3,770,221","2,674,392","2,983,694","20,885,858"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh",0,0,"60,800","43,428","304,000"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities",0,"26,000","31,000","25,857","181,000"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","7,000","24,000","73,000","56,571","396,000"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,UK other sources,0,0,"4,000","2,857","20,000"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,EU government bodies,"237,000","190,000","105,800","136,571","956,000"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,0,0,"14,200","10,142","71,000"
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,0,0,0
10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,Total income,"244,000","240,000","288,800","275,428","1,928,000"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh",560,160,"19,658","14,144","99,012"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),0,864,"1,309","1,059","7,413"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,"4,642","21,625","16,110","112,771"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","32,181","32,154","327,731","243,284","1,702,994"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","20,838","21,291","70,968","56,710","396,971"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,UK other sources,0,888,74,179,"1,258"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,EU government bodies,"227,903","149,507","281,324","254,861","1,784,032"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,0,"2,419","1,728","12,098"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,Non-EU other,"14,206","30,472","29,629","27,546","192,827"
10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,Total income,"295,688","239,978","754,742","615,625","4,309,376"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","59,000","49,000","13,000","24,714","173,000"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","183,000","74,885","118,011","121,134","847,944"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,0,"9,000","6,428","45,000"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,"UK industry, commerce and public corporations","22,000","34,000","32,000","30,857","216,000"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,UK other sources,0,0,36,26,182
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,EU government bodies,"224,000","118,000","49,198","83,998","587,992"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,EU (excluding UK) other,0,"19,000","1,000","3,428","24,000"
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,Non-EU other,0,0,0,0,0
10007785,University of Bradford,B,11,Computer Science and Informatics,,,,Total income,"488,000","294,885","222,246","270,588","1,894,118"
10000886,University of Brighton,B,11,Computer Science and Informatics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","33,860","110,275","78,526","76,680","536,766"
10000886,University of Brighton,B,11,Computer Science and Informatics,,,,UK-based charities (open competitive process),"7,714","25,433","55,333","44,258","309,812"
10000886,University of Brighton,B,11,Computer Science and Informatics,,,,UK-based charities (other),0,0,0,0,0
10000886,University of Brighton,B,11,Computer Science and Informatics,,,,"UK central government bodies/local authorities, health and hospital authorities","85,180","148,668","89,842","97,579","683,058"
10000886,University of Brighton,B,11,Computer Science and Informatics,,,,UK central government tax credits for research and development expenditure,0,"4,985",0,712,"4,985"
