Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","4,023,782","3,336,533","2,833,254","3,075,226","21,526,585"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK-based charities (open competitive process),"4,819,485","5,885,624","5,459,026","5,428,605","38,000,241"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK-based charities (other),"1,332,751","862,247","927,862","976,329","6,834,308"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"UK central government bodies/local authorities, health and hospital authorities","11,484,398","10,459,595","8,975,839","9,546,170","66,823,190"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Health research funding bodies,"1,949,002","2,042,456","1,220,178","1,441,764","10,092,352"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK central government tax credits for research and development expenditure,0,"971,003","428,319","444,657","3,112,602"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"UK industry, commerce and public corporations","1,348,809","1,622,496","782,621","983,487","6,884,410"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK other sources,"98,139","64,465","41,290","52,722","369,054"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,EU government bodies,"1,536,376","1,307,274","1,030,820","1,142,535","7,997,750"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,EU-based charities (open competitive process),"84,451","116,561","40,153","57,397","401,781"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"EU industry, commerce and public corporations","219,674","2,082","367,916","294,476","2,061,336"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,EU (excluding UK) other,"47,250","227,454","46,768","72,649","508,548"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Non-EU-based charities (open competitive process),"95,615","170,488","60,451","81,194","568,360"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Non-EU industry commerce and public corporations,"1,530,649","1,306,787","1,959,000","1,804,634","12,632,439"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Non-EU other,"145,994","86,442","251,517","212,860","1,490,021"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Total income,"28,716,375","28,461,507","24,425,019","25,614,711","179,302,977"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","8,432,117","8,133,193","9,887,129","9,428,708","66,000,956"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,UK-based charities (open competitive process),"17,181,394","15,346,337","16,266,681","16,265,876","113,861,137"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,UK-based charities (other),"1,451,288","2,012,574","3,394,266","2,919,313","20,435,195"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,"UK central government bodies/local authorities, health and hospital authorities","7,164,926","1,670,855","1,282,621","2,178,412","15,248,886"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,Health research funding bodies,0,"4,455,093","6,396,714","5,205,523","36,438,665"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,UK central government tax credits for research and development expenditure,0,"2,645,056","533,322","758,810","5,311,670"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,"UK industry, commerce and public corporations","1,002,872","1,008,443","1,678,330","1,486,138","10,402,968"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,UK other sources,"-24,805","207,377","302,796","242,364","1,696,554"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,EU government bodies,"3,169,807","3,209,239","2,617,056","2,780,618","19,464,327"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,EU-based charities (open competitive process),0,"83,934","438,152","324,956","2,274,695"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,"EU industry, commerce and public corporations","140,034","234,210","389,184","331,452","2,320,164"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,EU (excluding UK) other,"73,236","62,260","9,837","26,383","184,684"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,Non-EU-based charities (open competitive process),0,"222,450","352,459","283,535","1,984,746"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,Non-EU industry commerce and public corporations,"273,066","529,111","1,813,104","1,409,671","9,867,699"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,Non-EU other,"304,716","76,448","80,359","111,851","782,961"
10006840,University of Birmingham,A,1,Clinical Medicine,,,,Total income,"39,168,651","39,896,580","45,442,015","43,753,615","306,275,307"
10007786,University of Bristol,A,1,Clinical Medicine,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","2,959,322","2,776,685","3,448,310","3,282,508","22,977,557"
10007786,University of Bristol,A,1,Clinical Medicine,,,,UK-based charities (open competitive process),"6,008,785","6,262,887","6,217,384","6,194,084","43,358,592"
10007786,University of Bristol,A,1,Clinical Medicine,,,,UK-based charities (other),"108,064","191,139","386,805","319,032","2,233,229"
10007786,University of Bristol,A,1,Clinical Medicine,,,,"UK central government bodies/local authorities, health and hospital authorities","243,692","222,300","160,987","181,561","1,270,930"
10007786,University of Bristol,A,1,Clinical Medicine,,,,Health research funding bodies,"1,931,777","2,135,595","2,406,153","2,299,734","16,098,140"
10007786,University of Bristol,A,1,Clinical Medicine,,,,UK central government tax credits for research and development expenditure,0,"2,575,151",0,"367,878","2,575,151"
10007786,University of Bristol,A,1,Clinical Medicine,,,,"UK industry, commerce and public corporations","669,545","673,743","756,708","732,404","5,126,831"
10007786,University of Bristol,A,1,Clinical Medicine,,,,UK other sources,"245,724","125,308","-138,230","-45,731","-320,120"
10007786,University of Bristol,A,1,Clinical Medicine,,,,EU government bodies,"374,248","330,179","291,342","308,734","2,161,138"
10007786,University of Bristol,A,1,Clinical Medicine,,,,EU-based charities (open competitive process),"47,524","85,770","93,955","86,153","603,072"
10007786,University of Bristol,A,1,Clinical Medicine,,,,"EU industry, commerce and public corporations","148,532","126,386","54,918","78,501","549,508"
10007786,University of Bristol,A,1,Clinical Medicine,,,,EU (excluding UK) other,"15,883","70,404","60,686","55,674","389,718"
10007786,University of Bristol,A,1,Clinical Medicine,,,,Non-EU-based charities (open competitive process),"457,829","479,108","404,597","422,846","2,959,924"
10007786,University of Bristol,A,1,Clinical Medicine,,,,Non-EU industry commerce and public corporations,"167,317","251,235","391,706","339,583","2,377,085"
10007786,University of Bristol,A,1,Clinical Medicine,,,,Non-EU other,"360,680","497,358","628,063","571,193","3,998,357"
10007786,University of Bristol,A,1,Clinical Medicine,,,,Total income,"13,738,922","16,803,248","15,163,388","15,194,158","106,359,112"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","18,400,880","21,886,827","29,762,400","27,014,244","189,099,709"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,UK-based charities (open competitive process),"52,656,324","54,700,912","71,540,854","66,437,358","465,061,507"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,UK-based charities (other),"3,087,219","7,422,017","4,435,440","4,669,491","32,686,439"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,"UK central government bodies/local authorities, health and hospital authorities","14,184,597","15,458,577","18,620,008","17,534,745","122,743,215"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,Health research funding bodies,"1,939,261","1,875,020","2,503,312","2,332,977","16,330,841"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,UK central government tax credits for research and development expenditure,0,"15,483,353","73,950","2,264,729","15,853,106"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,"UK industry, commerce and public corporations","619,709","1,500,572","3,691,773","2,939,878","20,579,149"
10007788,University of Cambridge,A,1,Clinical Medicine,,,,UK other sources,"81,456","146,771","232,048","198,352","1,388,468"
