Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007783,University of Aberdeen,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","40,685","52,233","8,085","19,049","133,347"
10007783,University of Aberdeen,C,18,Law,,,,UK-based charities (open competitive process),"13,219","56,397","21,363","25,205","176,435"
10007783,University of Aberdeen,C,18,Law,,,,UK-based charities (other),"11,516","6,524","6,458","7,190","50,330"
10007783,University of Aberdeen,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,"24,852","3,527","6,069","42,488"
10007783,University of Aberdeen,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007783,University of Aberdeen,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,"1,332",951,"6,661"
10007783,University of Aberdeen,C,18,Law,,,,UK other sources,-523,-323,300,93,656
10007783,University of Aberdeen,C,18,Law,,,,EU government bodies,"12,883","52,845","126,413","99,685","697,797"
10007783,University of Aberdeen,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007783,University of Aberdeen,C,18,Law,,,,EU (excluding UK) other,"9,873",0,0,"1,410","9,873"
10007783,University of Aberdeen,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007783,University of Aberdeen,C,18,Law,,,,Non-EU other,0,0,0,0,0
10007783,University of Aberdeen,C,18,Law,,,,Total income,"87,653","192,528","167,481","159,655","1,117,587"
10007849,Abertay University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","-1,484",0,0,-212,"-1,484"
10007849,Abertay University,C,18,Law,,,,UK-based charities (open competitive process),"2,000","2,183",0,597,"4,183"
10007849,Abertay University,C,18,Law,,,,UK-based charities (other),0,0,936,668,"4,682"
10007849,Abertay University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",791,0,0,113,791
10007849,Abertay University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,UK other sources,0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,EU government bodies,182,"2,058",-841,-281,"-1,968"
10007849,Abertay University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,Non-EU other,0,0,0,0,0
10007849,Abertay University,C,18,Law,,,,Total income,"1,489","4,241",94,886,"6,204"
10007856,Aberystwyth University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","1,000",0,0,142,"1,000"
10007856,Aberystwyth University,C,18,Law,,,,UK-based charities (open competitive process),"44,000","62,000","235,600","183,428","1,284,000"
10007856,Aberystwyth University,C,18,Law,,,,UK-based charities (other),"9,000",0,"2,000","2,714","19,000"
10007856,Aberystwyth University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","32,000",0,"7,000","9,571","67,000"
10007856,Aberystwyth University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,"UK industry, commerce and public corporations","3,000",0,600,857,"6,000"
10007856,Aberystwyth University,C,18,Law,,,,UK other sources,0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,EU government bodies,0,0,"2,400","1,714","12,000"
10007856,Aberystwyth University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,Non-EU other,0,0,0,0,0
10007856,Aberystwyth University,C,18,Law,,,,Total income,"89,000","62,000","247,600","198,428","1,389,000"
10000291,Anglia Ruskin University,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh",0,0,"14,422","10,301","72,111"
10000291,Anglia Ruskin University,C,18,Law,,,,UK-based charities (open competitive process),0,0,184,131,923
10000291,Anglia Ruskin University,C,18,Law,,,,UK-based charities (other),0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities",0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,"UK industry, commerce and public corporations",0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,UK other sources,0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,EU government bodies,0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,EU-based charities (open competitive process),0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,EU (excluding UK) other,0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,Non-EU other,0,0,0,0,0
10000291,Anglia Ruskin University,C,18,Law,,,,Total income,0,0,"14,606","10,433","73,034"
10007760,Birkbeck College,C,18,Law,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","96,298","185,951","118,837","125,205","876,436"
10007760,Birkbeck College,C,18,Law,,,,UK-based charities (open competitive process),"2,869","35,420","109,509","83,690","585,834"
10007760,Birkbeck College,C,18,Law,,,,UK-based charities (other),"127,599","131,083","89,670","101,004","707,033"
10007760,Birkbeck College,C,18,Law,,,,"UK central government bodies/local authorities, health and hospital authorities","185,938","55,634","57,659","75,695","529,867"
