Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","64,196","113,990","67,682","73,799","516,596"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,UK-based charities (open competitive process),"37,608","20,473","15,825","19,601","137,210"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,UK-based charities (other),"37,701","24,672","66,139","56,153","393,072"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,"UK central government bodies/local authorities, health and hospital authorities","4,861","11,818","6,971","7,362","51,534"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,"UK industry, commerce and public corporations",928,"1,553","2,852","2,392","16,744"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,UK other sources,-29,-142,337,216,"1,516"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,EU government bodies,0,0,457,326,"2,286"
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,"EU industry, commerce and public corporations",0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,EU (excluding UK) other,0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,Non-EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,Non-EU industry commerce and public corporations,0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,Non-EU other,0,0,0,0,0
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,,Total income,"145,265","172,364","160,265","159,851","1,118,958"
10007783,University of Aberdeen,D,27,English Language and Literature,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","80,491","88,862","44,816","56,205","393,436"
10007783,University of Aberdeen,D,27,English Language and Literature,,,,UK-based charities (open competitive process),"27,209","2,120","17,618","16,774","117,419"
10007783,University of Aberdeen,D,27,English Language and Literature,,,,UK-based charities (other),"26,194","29,250","66,948","55,740","390,186"
