Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Income source,Income for academic year 2013-14,Income for academic year 2014-15,Average income for academic years 2015-16 to 2019-20,Average income for academic years 2013-14 to 2019-20,Total income for academic years 2013-14 to 2019-20
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","4,023,782","3,336,533","2,833,254","3,075,226","21,526,585"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK-based charities (open competitive process),"4,819,485","5,885,624","5,459,026","5,428,605","38,000,241"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK-based charities (other),"1,332,751","862,247","927,862","976,329","6,834,308"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"UK central government bodies/local authorities, health and hospital authorities","11,484,398","10,459,595","8,975,839","9,546,170","66,823,190"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Health research funding bodies,"1,949,002","2,042,456","1,220,178","1,441,764","10,092,352"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK central government tax credits for research and development expenditure,0,"971,003","428,319","444,657","3,112,602"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"UK industry, commerce and public corporations","1,348,809","1,622,496","782,621","983,487","6,884,410"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,UK other sources,"98,139","64,465","41,290","52,722","369,054"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,EU government bodies,"1,536,376","1,307,274","1,030,820","1,142,535","7,997,750"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,EU-based charities (open competitive process),"84,451","116,561","40,153","57,397","401,781"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,"EU industry, commerce and public corporations","219,674","2,082","367,916","294,476","2,061,336"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,EU (excluding UK) other,"47,250","227,454","46,768","72,649","508,548"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Non-EU-based charities (open competitive process),"95,615","170,488","60,451","81,194","568,360"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Non-EU industry commerce and public corporations,"1,530,649","1,306,787","1,959,000","1,804,634","12,632,439"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Non-EU other,"145,994","86,442","251,517","212,860","1,490,021"
10007783,University of Aberdeen,A,1,Clinical Medicine,,,,Total income,"28,716,375","28,461,507","24,425,019","25,614,711","179,302,977"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","292,206","259,849","181,759","208,693","1,460,853"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,UK-based charities (open competitive process),"294,690","374,797","344,480","341,698","2,391,889"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,UK-based charities (other),"33,938","22,502","77,408","63,354","443,480"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,"UK central government bodies/local authorities, health and hospital authorities","301,170","108,384","985,507","762,441","5,337,091"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,Health research funding bodies,"4,968,686","3,914,550","4,870,256","4,747,788","33,234,516"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,"UK industry, commerce and public corporations","137,746","26,861","55,019","62,815","439,706"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,UK other sources,"14,680","14,212","11,512","12,350","86,455"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,EU government bodies,"561,141","247,727","43,855","146,877","1,028,144"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,EU-based charities (open competitive process),"3,005","10,547","16,554","13,760","96,323"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,"EU industry, commerce and public corporations","1,212",0,"1,792","1,453","10,176"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,EU (excluding UK) other,0,"2,055","7,729","5,814","40,701"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,Non-EU-based charities (open competitive process),281,0,0,40,281
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,Non-EU industry commerce and public corporations,"24,917","8,535",821,"5,365","37,559"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,Non-EU other,-920,0,"7,942","5,542","38,794"
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,,Total income,"6,632,752","4,990,019","6,604,639","6,377,995","44,645,968"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","451,783","230,151","542,136","484,659","3,392,616"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,UK-based charities (open competitive process),"31,959","171,140","171,154","151,267","1,058,871"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,UK-based charities (other),"35,200","19,105","14,795","18,326","128,284"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,"UK central government bodies/local authorities, health and hospital authorities","8,730","15,268","12,876","12,626","88,382"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,Health research funding bodies,59,0,"5,147","3,685","25,795"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,UK central government tax credits for research and development expenditure,0,0,0,0,0
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,"UK industry, commerce and public corporations","14,828","40,497","9,090","14,396","100,777"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,UK other sources,"28,807","14,851","2,052","7,702","53,918"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,EU government bodies,"161,981","118,317","42,203","70,187","491,315"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,EU-based charities (open competitive process),0,0,0,0,0
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,"EU industry, commerce and public corporations","80,431","33,667","4,363","19,416","135,915"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,EU (excluding UK) other,"7,772",0,0,"1,110","7,772"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,Non-EU-based charities (open competitive process),"51,246","75,906","37,422","44,895","314,266"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,Non-EU industry commerce and public corporations,"43,730","155,136","148,201","134,267","939,873"
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,Non-EU other,-948,0,224,25,175
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,,Total income,"915,578","874,038","989,668","962,565","6,737,959"
10007783,University of Aberdeen,A,5,Biological Sciences,,,,"BEIS Research Councils, The Royal Society, British Academy and The Royal Society of Edinburgh","2,027,616","1,793,465","1,665,274","1,735,350","12,147,455"
10007783,University of Aberdeen,A,5,Biological Sciences,,,,UK-based charities (open competitive process),"180,926","357,639","171,753","199,618","1,397,331"
10007783,University of Aberdeen,A,5,Biological Sciences,,,,UK-based charities (other),"303,086","121,560","84,452","120,986","846,908"
10007783,University of Aberdeen,A,5,Biological Sciences,,,,"UK central government bodies/local authorities, health and hospital authorities","78,750","186,641","205,196","184,481","1,291,371"
10007783,University of Aberdeen,A,5,Biological Sciences,,,,Health research funding bodies,"43,481","39,166","22,484","27,866","195,067"
10007783,University of Aberdeen,A,5,Biological Sciences,,,,UK central government tax credits for research and development expenditure,0,"81,483","48,293","46,135","322,949"
